Feature,Importance
cat__model_mg zs ev,1.4629920864393936e-06
cat__model_mahindra scorpio classic,1.451541110705018e-06
cat__model_toyota prius,1.4276028195551336e-06
cat__model_volkswagen passat,1.4267230177953671e-06
cat__model_nissan kicks,1.3795485030769372e-06
cat__model_tata safari storme,1.3601805970772728e-06
cat__model_maruti gypsy,1.3547190630132098e-06
cat__body_minivans,1.3160309958296038e-06
cat__model_mahindra marazzo,1.2672787341779854e-06
cat__model_mahindra tuv 300 plus,1.2580575521470503e-06
cat__model_maruti baleno,1.2537680795906637e-06
cat__model_honda mobilio,1.2229049755056627e-06
cat__model_toyota hilux,1.2139787873058689e-06
cat__model_ford figo,1.200735520378293e-06
cat__model_isuzu mu 7,1.1917881311296577e-06
cat__model_honda jazz,1.1854424313943368e-06
cat__model_chevrolet beat,1.1796275857263798e-06
cat__model_tata zest,1.1747435549284417e-06
cat__model_isuzu mu-x,1.1734038699676414e-06
cat__model_volvo xc40,1.112315398544581e-06
cat__model_toyota urban cruiser,1.1066150563558706e-06
cat__state_goa,1.1058055210562719e-06
cat__model_maruti omni,1.1048522206991004e-06
cat__oem_mahindra renault,1.0771399011119274e-06
cat__model_maruti celerio tour 2018-2021,1.0732302743738256e-06
cat__model_maruti sx4 s cross,1.0705939238329735e-06
cat__model_lexus es,1.0682293559993715e-06
cat__model_hyundai xcent,1.067810525278389e-06
cat__model_mahindra scorpio n,1.0534844841424656e-06
cat__model_force one,1.041714990544319e-06
cat__model_renault scala,1.0330233797079513e-06
cat__model_toyota prado,1.0176165023777796e-06
cat__model_nissan micra,1.00587611257794e-06
cat__model_tata nexon ev max,9.436443865016504e-07
cat__model_tata aria,9.423321146681221e-07
cat__Front Brake Type_disc & drum,9.379260465333614e-07
cat__model_skoda yeti,9.172383752651963e-07
cat__oem_force,9.043192426110931e-07
cat__model_maruti xl6,8.984196567150402e-07
cat__model_maruti ignis,8.411930861243005e-07
cat__model_maruti zen estilo,8.324826999746027e-07
cat__model_tata altroz,7.823582884425704e-07
cat__model_toyota glanza,7.774505599366835e-07
cat__model_chevrolet tavera,7.751571022467974e-07
cat__state_tripura,7.635764787581374e-07
cat__model_maruti ritz,7.537209349286668e-07
cat__model_tata indica,7.47627063090062e-07
cat__model_fiat punto,7.476063155977912e-07
cat__model_land rover freelander 2,7.28824613591263e-07
cat__model_hyundai sonata,7.195249758993166e-07
cat__model_renault kiger,7.12653047243868e-07
cat__model_volvo v40 cross country,7.034406207404863e-07
cat__model_fiat punto evo,6.868029647182154e-07
cat__model_volkswagen jetta,6.835222018023422e-07
cat__model_tata tiago,6.38474951380798e-07
cat__model_hyundai grand i10 nios,6.384580532934617e-07
cat__model_skoda slavia,6.266806334512119e-07
cat__model_tata manza,6.259094470844738e-07
cat__model_mahindra kuv 100,6.145115464659695e-07
cat__model_mahindra nuvosport,5.970218336699344e-07
cat__model_chevrolet sail,5.899825851692487e-07
cat__model_tata tigor,5.8418069019829e-07
cat__model_nissan micra active,5.607205401959597e-07
cat__model_mercedes-benz e-class all-terrain,5.59838079330811e-07
cat__model_hyundai i20 active,5.557660015390212e-07
cat__model_maruti alto k10,5.506423284018665e-07
cat__model_nissan terrano,5.505626527355774e-07
cat__model_volvo s60 cross country,5.500986502294238e-07
cat__model_audi a5,5.458731582531928e-07
cat__model_mahindra renault logan,5.190676244602391e-07
cat__model_citroen c3,5.132917885174968e-07
cat__model_renault lodgy,5.048209113193222e-07
cat__model_renault captur,5.029357131213704e-07
cat__model_hyundai santro,4.8628660547629e-07
cat__model_datsun redigo,4.774613537524284e-07
cat__model_ford fiesta,4.486820678786484e-07
cat__model_nissan magnite,4.484909736555067e-07
cat__model_hyundai kona,4.397660936964767e-07
cat__model_volkswagen virtus,4.3448168944518013e-07
cat__model_toyota etios,4.225130591822569e-07
cat__model_volkswagen taigun,4.2169078982418356e-07
cat__model_renault triber,4.179418197431154e-07
cat__model_chevrolet optra,4.13079168884403e-07
cat__model_renault pulse,4.0615313567168803e-07
cat__model_ford freestyle,4.049690581001191e-07
cat__model_toyota platinum etios,3.7758273975837783e-07
cat__model_skoda fabia,3.7591980151851494e-07
cat__model_fiat grande punto,3.7333898278887137e-07
cat__model_mercedes-benz r-class,3.6283097097085127e-07
cat__model_bmw z4,3.60261543172087e-07
cat__model_toyota etios cross,3.595760672594844e-07
cat__model_chevrolet sail hatchback,3.5391581456996825e-07
cat__Valve Configuration_16 modules 48 cells,3.5223760369872385e-07
cat__model_maruti kizashi,3.481285378437893e-07
cat__model_toyota etios liva,3.437240025985733e-07
cat__model_mahindra armada,3.202177267003281e-07
cat__model_audi a8 2010-2013,3.13824142278082e-07
cat__model_force trax cruiser,3.0670282305332807e-07
cat__model_aston martin vantage,3.0425591516810947e-07
cat__model_bmw x6,2.975157908984308e-07
cat__Gear Box_direct drive,2.936749658095488e-07
cat__model_skoda karoq,2.8979064415590733e-07
cat__model_volkswagen t-roc,2.8827323702913117e-07
cat__model_mahindra bolero power plus,2.8587064052279683e-07
cat__model_mahindra e2o plus,2.758882739939611e-07
cat__model_bmw x4,2.650514417513504e-07
cat__model_bmw m2,2.6305473013615485e-07
cat__model_renault fluence,2.611904430123879e-07
cat__model_tata yodha pickup,2.605578981882649e-07
cat__model_mahindra verito vibe,2.575836528945275e-07
cat__model_toyota fortuner legender,2.5638391308807187e-07
cat__model_maruti alto 800,2.556765543387102e-07
cat__model_chevrolet spark,2.509782490302745e-07
cat__model_tata tigor ev,2.506308299059314e-07
cat__model_hyundai accent,2.4712173269751357e-07
cat__model_mahindra kuv 100 nxt,2.4209003270817696e-07
cat__model_honda brio,2.414008498127245e-07
cat__model_maruti swift dzire tour,2.3838025164453948e-07
cat__model_maruti sx4,2.3519795190128757e-07
cat__model_hyundai eon,2.2854050924381928e-07
cat__model_datsun go plus,2.1259025342013836e-07
cat__model_tata nano,1.9907586366455728e-07
cat__model_porsche panamera,1.9662706434019752e-07
cat__model_skoda new laura,1.8837312343607955e-07
cat__model_mahindra bolero maxi truck plus,1.8563017291174917e-07
cat__model_toyota etios 2014-2016,1.7735771215560986e-07
cat__Front Brake Type_drum,1.7408480410053041e-07
cat__model_hyundai elite i20 2018,1.6449580035299233e-07
cat__Rear Brake Type_disc & drum,1.6418223993653e-07
cat__model_maruti brezza,1.635103533265121e-07
cat__model_tata punch,1.5455171202157134e-07
cat__model_maruti estilo,1.5088330184646162e-07
cat__model_nissan teana,1.500458865281108e-07
cat__model_hyundai i20 n line,1.4640963257347218e-07
cat__model_chevrolet aveo u-va,1.440464240944918e-07
cat__model_maruti a-star,1.3840496224671118e-07
cat__model_volvo xc90,1.3637808530593525e-07
cat__model_maruti eeco,1.363710322669504e-07
cat__model_volkswagen crosspolo,1.350931972278535e-07
cat__model_mahindra bolero pik up extra strong,1.331599161791411e-07
cat__model_tata indica ev2,1.3260084883596918e-07
cat__state_meghalaya,1.2742529852590972e-07
cat__model_mercedes-benz sl-class,1.1608509174553456e-07
cat__model_mahindra verito,1.1248640710113781e-07
cat__model_ford ikon,1.1193580900157146e-07
cat__state_sikkim,1.0862340686767915e-07
cat__model_mini 3 door,1.054164364041672e-07
cat__model_maruti wagon r stingray,1.0525782768433202e-07
cat__state_daman and diu,1.0515382993322475e-07
cat__model_toyota yaris,1.0410887169963547e-07
cat__model_maruti alto,1.0194730741252247e-07
cat__model_chevrolet forester,1.017518411319665e-07
cat__model_hyundai xcent prime,1.00770729706228e-07
cat__model_bmw 1 series,9.991506757426238e-08
cat__model_maruti celerio x,9.667622883913072e-08
cat__model_chevrolet aveo,9.40560724918597e-08
cat__model_mahindra bolero pik up extra long,8.650980007899444e-08
cat__model_mahindra e verito,7.564191309747451e-08
cat__model_tata sumo victa,7.527657521328208e-08
cat__model_nissan evalia,7.28651094672214e-08
cat__model_tata tiago nrg,7.226185596814082e-08
cat__model_tata bolt,6.877667493262976e-08
cat__Gear Box_10 speed,6.731048797221111e-08
cat__model_maruti s-presso,6.487803696241021e-08
cat__Valve Configuration_ohv / pushrod,6.434865411871813e-08
